Ref,Val,Package,PosX,PosY,Rot,Side
"C302","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-214.500000,-121.000000,-90.000000,bottom
"C804","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-243.000000,-82.000000,0.000000,bottom
"C807","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-243.537500,-75.250000,180.000000,bottom
"C905","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-67.000000,-55.000000,180.000000,bottom
"C906","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-76.000000,-57.000000,180.000000,bottom
"C911","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-87.100000,-74.200000,0.000000,bottom
"C912","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-68.000000,-79.000000,180.000000,bottom
"C914","0.0027u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-62.000000,-79.000000,90.000000,bottom
"C915","0.0027u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-58.000000,-83.000000,0.000000,bottom
"C916","0.0027u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-53.000000,-83.000000,0.000000,bottom
"C917","0.0027u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-56.000000,-80.000000,180.000000,bottom
"C919","0.01u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-74.000000,-74.000000,90.000000,bottom
"C1005","150p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-123.750000,-69.787500,90.000000,bottom
"C1205","1000p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-198.500000,-70.500000,0.000000,bottom
"C1206","1000p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-194.000000,-64.000000,180.000000,bottom
"C1207","1000p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-207.500000,-79.500000,0.000000,bottom
"C1208","1000p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-205.500000,-72.000000,90.000000,bottom
"C1210","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-219.500000,-67.000000,180.000000,bottom
"C1213","150p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-237.962500,-68.500000,180.000000,bottom
"C1401","0.01u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-168.500000,-76.000000,90.000000,bottom
"C1403","0.01u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-162.400000,-80.300000,0.000000,bottom
"C1406","0.01u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-167.000000,-95.200000,0.000000,bottom
"C1408","0.01u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-184.000000,-81.000000,0.000000,bottom
"C1410","1000p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-153.000000,-79.000000,-90.000000,bottom
"C1411","1000p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-151.500000,-71.000000,90.000000,bottom
"C1412","1000p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-180.000000,-85.000000,-90.000000,bottom
"C1413","1000p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-180.000000,-77.000000,90.000000,bottom
"C1415","0.01u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-193.900000,-54.300000,0.000000,bottom
"C1501","16p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-161.000000,-60.000000,-90.000000,bottom
"C1502","13p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-153.500000,-58.000000,-90.000000,bottom
"C1503","16p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-143.900000,-53.700000,0.000000,bottom
"C1601","0.1u","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-100.000000,-72.000000,90.000000,bottom
"C1701","430p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-59.000000,-115.000000,180.000000,bottom
"C1702","430p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-64.000000,-126.000000,0.000000,bottom
"C1703","15p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-59.000000,-119.000000,180.000000,bottom
"C1704","15p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-64.000000,-123.000000,0.000000,bottom
"C1705","120p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-53.000000,-103.000000,180.000000,bottom
"C1706","150p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-53.000000,-112.000000,180.000000,bottom
"C1707","10p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-53.000000,-108.000000,180.000000,bottom
"C1708","10p","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-57.000000,-133.000000,180.000000,bottom
"C1709","150P","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",-57.000000,-136.000000,180.000000,bottom
