Item,Part Number,Qty,Reference(s),Title/Description,Value on Schematic,Manufacturer,Manufacturer Part Number
1,800238-104,47,"C301,C302,C305,C309,C310,C401-C403,C501,C801-C806,C901,C902,C906-C910,C1101,C1105-C1108,C1201,C1206,C1303,C1602,C1701,C1705,C1706,C1710,C1801,C1804,C2301-C2304,C2309-C2312,C2314,C2315","CAP,0805,0.1u,50V,X7R",0.1u,Open Market,N/A
2,800267-226,14,"C1102,C1103,C1109,C1302,C1304-C1307,C1601,C1703,C1707,C1708,C1711,C1716","CAP,ALUM ELECT,GP,22UF,25V,SMD,CS=6.3MM",22u,Open Market,N/A
3,800268-107,2,"C1104,C1702","CAP,ALUM,ELECT,GP,100UF,35V,SMD,CS=8MM",100u,Open Market,N/A
4,800238-105,2,"C404,C1110","CAP,0805,1u,50V,X7R",1u,Open Market,N/A
5,800003-475,5,"C1111,C1112,C1203,C1204,C1603","CAP,0805,4.7u,25V,X5R",4.7u,Open Market,N/A
6,800270-477,2,"C1202,C1205","CAP,ALUM,ELECT,GP,470UF,25V,SMD,CS=10MM",470u,Open Market,N/A
7,800239-151,10,"C706,C709,C712,C713,C716,C717,C719,C1301,C1805,C2313","CAP,0805,C0G/NPO,150PF,50V",150p,Open Market,N/A
8,800239-102,3,"C304,C1308,C1803","CAP,0805,C0G/NPO,1000PF,50V",1000p,Open Market,N/A
9,800239-103,1,C1704,"CAP,0805,C0G/NPO,10000PF,50V",0.01u,Open Market,N/A
10,800239-272,5,"C1709,C1712-C1715","CAP,0805,C0G/NPO,2700PF,50V",0.0027u,Open Market,N/A
11,800238-103,21,"C903,C904,C1717,C1802,C2101-C2109,C2114-C2121","CAP,0805,0.01u,50V,X7R",0.01u,Open Market,N/A
12,800239-160,2,"C2001,C2003","CAP,0805,C0G/NPO,16PF,50V",16p,Open Market,N/A
13,800239-130,1,C2002,"CAP,0805,C0G/NPO,13PF,50V",13p,Open Market,N/A
14,800238-102,8,"C2110-C2113,C2305-C2308","CAP,0805,1000p,50V,X7R",1000p,Open Market,N/A
15,800003-106,3,"C303,C306,C405","CAP,0805,10u,25V,X5R",10u,Open Market,N/A
16,800239-101,2,"C307,C308","CAP,0805,C0G/NPO,100PF,50V",100p,Open Market,N/A
17,800239-431,2,"C701,C702","CAP,0805,C0G/NPO,430PF,50V",430p,Open Market,N/A
18,800239-150,2,"C703,C704","CAP,0805,C0G/NPO,15PF,50V",15p,Open Market,N/A
19,800239-121,2,"C705,C710","CAP,0805,C0G/NPO,120PF,50V",120p,Open Market,N/A
20,800239-100,4,"C707,C708,C714,C715","CAP,0805,C0G/NPO,10PF,50V",10p,Open Market,N/A
21,800239-180,1,C711,"CAP,0805,C0G/NPO,18PF,50V",18p,Open Market,N/A
22,800239-200,2,"C718,C720","CAP,0805,C0G/NPO,20PF,50V",20p,Open Market,N/A
23,800241-600,1,C905,"CAP,TRIMMER,PLASTIC,PTH,6MM,60PF",60p,Open Market,N/A
24,800127-101,6,"CR901,CR902,CR1101-CR1104","DIODE,SCHOTTKY,SGL,SOT-23",BAT54,Diodes Inc.,BAT54-7-F
25,800245-601,11,"E301-E303,E901,E2101-E2104,E2301-E2303","FERRITE,CHIP,0805,600 ohm,100MHz,500mA",GZ2012U601TF,Sunlord,GZ2012U601TF
26,800253-101,4,"J301,J303,J305,J308","CONN, SMA, VERTICAL, PCB MOUNT",CONN_SMA_VERT,Kinghelm,KH-SMA-KE-Z
27,800114-102,2,"J302,J307","CONN,HDR,SHROUDED,2 CKT,5MM,XH SERIES",CONN2,JST,B2B-XH-A
28,800114-103,2,"J304,J306","CONN,HDR,SHROUDED,3 CKT,5MM,XH SERIES",CONN3,JST,B3B-XH-A
29,800114-108,1,J309,"CONN,HDR,SHROUDED,8 CKT,5MM,XH SERIES",CONN8,JST,B8B-XH-A
30,800YYY-YYY,3,"L1301,L1801,L2301",Unknown,81nH,Unknown,Unknown
31,800257-023,3,"L901,L1302,L1802","FERRITE,TOROID,OD 5.95MM,TYPE 43",27uH,Open Market,FT23-43
32,800234-370,2,"L2001,L2002","TOROID,POWDERED_IRON,T37-10",0.563uH,Open Market,N/A
33,800234-376,2,"L701,L702","TOROID,POWDERED_IRON,T37-6",0.97uH,Open Market,N/A
34,800276-037,1,L902,"FERRITE,TOROID,OD 9.5MM,TYPE 61",4.13uH,Open Market,FT37-61
35,800236-101,7,"Q301,Q401,Q402,Q905,Q1201,Q1602,Q1605","XSTR,SOT-23,MOSFET,N-CH,50V",BSS138,Open Market,BSS138
36,800259-101,10,"Q801,Q903,Q904,Q1301-Q1303,Q1603,Q1606,Q1702,Q1703","XSTR,GP,NPN,SOT-23,FT=300MHz",MMBT3904,Open Market,MMBT3904
37,800134-101,2,"Q1601,Q1604","XSTR,MOSFET,P-CH,SOT-23,30V,-7.6A",SI2369,Vishay,SI2369DS-T1-E3
