Item,Part Number,Qty,Reference(s),Title/Description,Value on Schematic,Manufacturer,Manufacturer Part Number
1,800241-600,1,C905,"CAP,TRIMMER,PLASTIC,PTH,6MM,60PF",60p,Open Market,N/A
2,800253-101,4,"J301,J303,J305,J308","CONN, SMA, VERTICAL, PCB MOUNT",CONN_SMA_VERT,Kinghelm,KH-SMA-KE-Z
3,800114-102,2,"J302,J307","CONN,HDR,SHROUDED,2 CKT,5MM,XH SERIES",CONN2,JST,B2B-XH-A
4,800114-103,2,"J304,J306","CONN,HDR,SHROUDED,3 CKT,5MM,XH SERIES",CONN3,JST,B3B-XH-A
5,800114-108,1,J309,"CONN,HDR,SHROUDED,8 CKT,5MM,XH SERIES",CONN8,JST,B8B-XH-A
6,8000XX-XXX,7,"L901,L902,L1301,L1302,L1801,L1802,L2301",Unknown,4.13uH,Unknown,Unknown
7,800234-370,2,"L2001,L2002","TOROID,POWDERED_IRON,T37-10",0.563uH,Open Market,N/A
8,800234-376,2,"L701,L702","TOROID,POWDERED_IRON,T37-6",0.97uH,Open Market,N/A
9,800249-203,3,"R918,R1705,R1713","RES,TRIMMER,3296,VERT,20K,10%,0.5W",20K,Open Market,N/A
10,800257-037,5,"T801,T901,T2101,T2102,T2301","FERRITE,TOROID,OD 9.5MM,TYPE 43",FT37-43,Open Market,FT37-43
11,800207-101,13,"TP301-TP304,TP1101,TP1102,TP1301,TP1601-TP1603,TP1701,TP1702,TP1801","TEST POINT, SGL,0.025 IN., SQ, PTH",TESTPINTPSQ025,Open Market,N/A
12,800269-101,1,U1201,"IC,AUDIO AMPLIFIER,2.5W,DIP14",LM380N,Texas Instruments,LM380N/NOPB
13,800287-101,2,"Y2001,Y2002","FILTER,XTAL,MONOLITHIC,45.1 MHZ,15KHZ BW",45.1 MHz,GOLLEDGE,GMCF-45T152AF
14,800260-101,6,Y701-Y706,"CRYSTAL,HC-49U,9MHZ,30PF",12.288 MHz,IQD Frequency Products,LFXTAL064523Bulk
15,XXXXXX-XXX,4,"R1802,R1803,R1806,R1807",DNI,DNI,DNI,DNI
