Item,Part Number,Qty,Reference(s),Title/Description,Value on Schematic,Manufacturer,Manufacturer Part Number
1,800239-151,8,"C1005,C1213,C1706,C1709,C1712,C1716,C1717,C2002","CAP,0805,C0G/NPO,150PF,50V",150p,Open Market,N/A
2,800239-102,10,"C1205-C1208,C1410-C1413,C2001,C2304","CAP,0805,C0G/NPO,1000PF,50V",1000p,Open Market,N/A
3,800238-104,22,"C302,C804,C807,C905,C906,C911,C912,C1210,C1601,C1801,C1802,C1809,C1810,C2004,C2101,C2201,C2301,C2302,C2305,C2306,C2310,C2311","CAP,0805,0.1u,50V,X7R",0.1u,Open Market,N/A
4,800239-103,7,"C919,C1401,C1403,C1406,C1408,C1415,C1804","CAP,0805,C0G/NPO,10000PF,50V",0.01u,Open Market,N/A
5,800239-160,2,"C1501,C1503","CAP,0805,C0G/NPO,16PF,50V",16p,Open Market,N/A
6,800239-130,1,C1502,"CAP,0805,C0G/NPO,13PF,50V",13p,Open Market,N/A
7,800239-431,2,"C1701,C1702","CAP,0805,C0G/NPO,430PF,50V",430p,Open Market,N/A
8,800239-150,2,"C1703,C1704","CAP,0805,C0G/NPO,15PF,50V",15p,Open Market,N/A
9,800239-121,2,"C1705,C1710","CAP,0805,C0G/NPO,120PF,50V",120p,Open Market,N/A
10,800239-100,3,"C1707,C1708,C1715","CAP,0805,C0G/NPO,10PF,50V",10p,Open Market,N/A
11,800239-180,1,C1711,"CAP,0805,C0G/NPO,18PF,50V",18p,Open Market,N/A
12,800239-200,1,C1718,"CAP,0805,C0G/NPO,20PF,50V",20p,Open Market,N/A
13,800239-272,4,C914-C917,"CAP,0805,C0G/NPO,2700PF,50V",0.0027u,Open Market,N/A
14,800127-101,1,CR1801,"DIODE,SCHOTTKY,SGL,SOT-23",BAT54,Diodes Inc.,BAT54-7-F
15,800245-601,2,"E1402,E1403","FERRITE,CHIP,0805,600 ohm,100MHz,500mA",FB0805,Sunlord,GZ2012U601TF
16,800275-101,1,Q901,"XSTR,PNP,GP,FT=300MHZ,SOT-23",MMBT3906,Open Market,MMBT3906
17,800259-101,1,Q903,"XSTR,GP,NPN,SOT-23,FT=300MHz",MMBT3904,Open Market,MMBT3904
18,800235-000,1,R1001,"RES,0805,0,1%",0,Open Market,N/A
19,800235-222,4,"R1008,R1803,R1806,R2010","RES,0805,2.2K,1%",2.2K,Open Market,N/A
20,800235-360,1,R1206,"RES,0805,36,1%",36,Open Market,N/A
21,800235-151,1,R1209,"RES,0805,150,1%",150,Open Market,N/A
22,800235-180,2,"R1301,R2001","RES,0805,18,1%",18,Open Market,N/A
23,800235-301,4,"R1302,R1303,R2002,R2003","RES,0805,300,1%",300,Open Market,N/A
24,800235-112,1,R1401,"RES,0805,1.1K,1%",1.1K,Open Market,N/A
25,800235-330,2,"R1410,R1411","RES,0805,33,1%",33,Open Market,N/A
26,800235-820,1,R1802,"RES,0805,82,1%",82,Open Market,N/A
27,800235-473,7,"R917,R920,R922-R925,R2011","RES,0805,47K,1%",47K,Open Market,N/A
28,800235-102,2,"R2012,R2014","RES,0805,1.0K,1%",1K,Open Market,N/A
29,800235-332,1,R2013,"RES,0805,3.3K,1%",3.3K,Open Market,N/A
30,800235-103,11,"R401,R402,R804,R807,R902,R903,R906,R2015,R2201,R2202,R2206","RES,0805,10K,1%",10K,Open Market,N/A
31,800235-101,2,"R901,R911","RES,0805,100,1%",100,Open Market,N/A
32,800235-202,1,R909,"RES,0805,2.0K,1%",2K,Open Market,N/A
33,800235-223,1,R919,"RES,0805,22K,1%",22K,Open Market,N/A
34,800235-393,1,R926,"RES,0805,39K,1%",39K,Open Market,N/A
35,800262-101,1,U1301,"MODULE,MIXER,SMD,LEVEL 7,0.5 TO 500 MHZ",ADE-1,Mini Circuits,ADE-1
36,800261-101,1,U1401,"IC,RF SWITCH,SPDT,50 OHM",AS169-73,Skyworks,AS169-73
37,800285-101,1,U302,"IC,DAC,12 BIT,I2C,2.7-5.5V,SOT23-6",MCP4725,Microchip,MCP4725A1T-E/CH
38,XXXXXX-XXX,9,"C2308,C2309,R1002,R1003,R1006,R1007,R1817,R1818,R912",DNI,DNI,DNI,DNI
